Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.578	0.542	0.511	0.295	0.00317	0.00318	0.06	0.38	1.7	0.11	0.49	0.96	0.001	0.002	0.009
2	0.585	0.527	0.513	0.287	0.00327	0.00262	0.07	0.39	1.6	0.12	0.49	0.95	0.002	0.003	0.008
3	0.593	0.509	0.514	0.277	0.00164	0.00107	0.1	0.41	1.6	0.14	0.49	0.94	0.0009	0.001	0.003
4	0.604	0.491	0.514	0.268	0.002	0.00114	0.12	0.44	1.6	0.16	0.49	0.93	0.001	0.002	0.004
5	0.621	0.478	0.514	0.258	0.00295	0.00135	0.14	0.46	1.6	0.17	0.49	0.92	0.002	0.003	0.005
6	0.634	0.469	0.513	0.25	0.00184	0.000752	0.15	0.48	1.6	0.18	0.49	0.91	0.001	0.002	0.003
7	0.647	0.461	0.512	0.244	0.00262	0.000986	0.17	0.5	1.6	0.19	0.49	0.9	0.002	0.002	0.004
8	0.662	0.454	0.511	0.237	0.00448	0.00159	0.18	0.52	1.6	0.19	0.49	0.89	0.003	0.004	0.008
9	0.675	0.449	0.51	0.231	0.00177	0.000597	0.2	0.54	1.6	0.2	0.49	0.88	0.001	0.002	0.003
10	0.679	0.444	0.51	0.228	0.0023	0.000752	0.2	0.56	1.6	0.2	0.49	0.88	0.002	0.002	0.004
11	0.684	0.44	0.509	0.225	0.0015	0.00048	0.21	0.57	1.6	0.21	0.49	0.87	0.001	0.001	0.002
12	0.689	0.436	0.509	0.222	0.00392	0.00125	0.22	0.57	1.6	0.21	0.49	0.87	0.003	0.004	0.006
13	0.695	0.432	0.508	0.219	0.00151	0.000462	0.23	0.58	1.6	0.22	0.49	0.87	0.001	0.001	0.002
14	0.696	0.428	0.508	0.217	0.0013	0.000388	0.23	0.59	1.5	0.22	0.49	0.86	0.0009	0.001	0.002
15	0.696	0.425	0.508	0.216	0.00133	0.000392	0.23	0.59	1.5	0.22	0.49	0.86	0.0009	0.001	0.002
16	0.697	0.422	0.507	0.214	0.00205	0.000606	0.23	0.59	1.5	0.22	0.49	0.86	0.001	0.002	0.003
17	0.698	0.42	0.507	0.213	0.00203	0.000597	0.23	0.59	1.5	0.23	0.49	0.85	0.001	0.002	0.003
18	0.701	0.417	0.507	0.212	0.00466	0.00135	0.24	0.6	1.5	0.22	0.49	0.85	0.003	0.004	0.007
19	0.707	0.414	0.507	0.209	0.00397	0.00113	0.25	0.61	1.5	0.23	0.49	0.85	0.003	0.004	0.006
20	0.71	0.412	0.506	0.207	0.00115	0.000326	0.26	0.61	1.5	0.23	0.49	0.85	0.0008	0.001	0.002
21	0.71	0.41	0.506	0.206	0.00128	0.000364	0.26	0.62	1.5	0.23	0.49	0.84	0.0009	0.001	0.002
22	0.708	0.408	0.506	0.206	0.0023	0.000661	0.26	0.61	1.5	0.23	0.49	0.84	0.002	0.002	0.004
23	0.707	0.407	0.506	0.205	0.00133	0.000383	0.26	0.61	1.5	0.23	0.49	0.84	0.0009	0.001	0.002
24	0.706	0.405	0.505	0.205	0.00216	0.00062	0.26	0.62	1.5	0.23	0.49	0.84	0.002	0.002	0.003
25	0.705	0.403	0.505	0.204	0.00458	0.00134	0.25	0.61	1.5	0.23	0.49	0.83	0.003	0.004	0.007
26	0.706	0.402	0.505	0.203	0.00163	0.000477	0.26	0.62	1.5	0.23	0.49	0.83	0.001	0.002	0.002
27	0.705	0.4	0.504	0.202	0.0022	0.000642	0.25	0.62	1.5	0.23	0.49	0.83	0.002	0.002	0.003
28	0.704	0.399	0.504	0.202	0.00135	0.000393	0.25	0.61	1.5	0.23	0.49	0.83	0.001	0.001	0.002
29	0.701	0.398	0.504	0.202	0.00415	0.00122	0.25	0.62	1.5	0.23	0.49	0.83	0.003	0.004	0.006
30	0.702	0.397	0.504	0.201	0.00148	0.000436	0.25	0.62	1.5	0.24	0.49	0.83	0.001	0.001	0.002
31	0.701	0.395	0.504	0.201	0.00124	0.000363	0.25	0.62	1.5	0.24	0.49	0.83	0.0009	0.001	0.002
32	0.699	0.394	0.504	0.201	0.00127	0.000371	0.25	0.62	1.5	0.24	0.49	0.83	0.0009	0.001	0.002
33	0.697	0.393	0.503	0.2	0.00206	0.000605	0.25	0.61	1.5	0.23	0.49	0.83	0.001	0.002	0.003
