Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
34	0.695	0.392	0.503	0.2	0.00205	0.000606	0.25	0.61	1.5	0.24	0.49	0.83	0.001	0.002	0.003
35	0.691	0.391	0.504	0.201	0.00525	0.00155	0.25	0.61	1.4	0.23	0.49	0.83	0.004	0.005	0.008
36	0.691	0.39	0.503	0.2	0.00474	0.00139	0.25	0.61	1.4	0.24	0.49	0.83	0.003	0.004	0.007
37	0.692	0.389	0.503	0.199	0.00127	0.000369	0.25	0.61	1.4	0.24	0.49	0.83	0.0009	0.001	0.002
38	0.692	0.388	0.503	0.199	0.00141	0.000412	0.25	0.61	1.4	0.23	0.49	0.82	0.001	0.001	0.002
39	0.69	0.388	0.503	0.199	0.00257	0.000754	0.25	0.61	1.4	0.23	0.49	0.82	0.002	0.002	0.004
40	0.688	0.387	0.503	0.199	0.00146	0.000429	0.25	0.61	1.4	0.23	0.49	0.82	0.001	0.001	0.002
41	0.687	0.386	0.503	0.199	0.00241	0.000711	0.25	0.6	1.4	0.23	0.49	0.82	0.002	0.002	0.004
42	0.684	0.385	0.503	0.199	0.00537	0.0016	0.25	0.6	1.4	0.23	0.49	0.82	0.004	0.005	0.008
43	0.685	0.384	0.502	0.198	0.00184	0.000553	0.25	0.6	1.4	0.24	0.49	0.82	0.001	0.002	0.003
44	0.683	0.383	0.502	0.198	0.00248	0.000741	0.24	0.6	1.4	0.24	0.49	0.82	0.002	0.002	0.004
45	0.682	0.383	0.502	0.198	0.00149	0.000446	0.25	0.6	1.4	0.23	0.49	0.82	0.001	0.001	0.002
46	0.68	0.382	0.502	0.198	0.00482	0.00145	0.24	0.6	1.4	0.23	0.49	0.82	0.003	0.004	0.008
47	0.68	0.382	0.502	0.198	0.00167	0.000499	0.24	0.6	1.4	0.24	0.49	0.82	0.001	0.002	0.003
48	0.679	0.381	0.502	0.198	0.00137	0.000407	0.24	0.6	1.4	0.24	0.49	0.82	0.001	0.001	0.002
49	0.678	0.38	0.502	0.197	0.0014	0.000416	0.24	0.6	1.4	0.24	0.49	0.82	0.001	0.001	0.002
50	0.676	0.379	0.502	0.197	0.00229	0.000687	0.24	0.6	1.4	0.24	0.49	0.82	0.002	0.002	0.004
51	0.675	0.379	0.502	0.197	0.00228	0.000684	0.24	0.6	1.4	0.24	0.49	0.82	0.002	0.002	0.004
52	0.671	0.379	0.502	0.198	0.00601	0.00182	0.24	0.59	1.4	0.23	0.49	0.82	0.004	0.006	0.01
53	0.67	0.378	0.502	0.198	0.00548	0.00165	0.24	0.59	1.4	0.24	0.49	0.82	0.004	0.005	0.009
54	0.67	0.378	0.502	0.197	0.00142	0.000427	0.24	0.59	1.4	0.24	0.49	0.82	0.001	0.001	0.002
55	0.67	0.377	0.502	0.197	0.00156	0.000469	0.23	0.6	1.4	0.24	0.49	0.82	0.001	0.001	0.002
56	0.669	0.377	0.502	0.197	0.00288	0.000872	0.24	0.59	1.4	0.23	0.49	0.82	0.002	0.003	0.005
57	0.668	0.376	0.502	0.197	0.00161	0.000489	0.23	0.59	1.4	0.23	0.49	0.82	0.001	0.001	0.003
58	0.667	0.376	0.501	0.197	0.0027	0.00082	0.23	0.59	1.4	0.23	0.49	0.82	0.002	0.002	0.004
59	0.664	0.376	0.502	0.198	0.00615	0.00188	0.23	0.59	1.4	0.23	0.49	0.82	0.004	0.006	0.01
60	0.664	0.375	0.501	0.197	0.00208	0.000638	0.23	0.59	1.4	0.23	0.49	0.82	0.001	0.002	0.003
61	0.664	0.375	0.501	0.197	0.0028	0.000861	0.23	0.59	1.4	0.23	0.49	0.82	0.002	0.003	0.004
62	0.663	0.374	0.501	0.197	0.00165	0.00051	0.23	0.59	1.4	0.23	0.49	0.82	0.001	0.002	0.003
63	0.661	0.374	0.501	0.198	0.0054	0.00167	0.23	0.59	1.4	0.23	0.49	0.82	0.004	0.005	0.009
64	0.661	0.374	0.501	0.197	0.00185	0.00057	0.23	0.59	1.4	0.23	0.49	0.82	0.001	0.002	0.003
65	0.66	0.373	0.501	0.197	0.00149	0.000459	0.23	0.59	1.4	0.24	0.49	0.82	0.001	0.001	0.002
66	0.66	0.373	0.501	0.197	0.00151	0.000466	0.23	0.59	1.4	0.23	0.49	0.82	0.001	0.001	0.002
67	0.659	0.373	0.501	0.197	0.00253	0.00078	0.23	0.58	1.4	0.23	0.49	0.82	0.002	0.002	0.004
