Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
40	0.676	0.393	0.495	0.205	0.00149	0.000408	0.22	0.61	1.4	0.22	0.49	0.82	0.001	0.001	0.002
41	0.674	0.393	0.495	0.205	0.0025	0.000689	0.22	0.6	1.4	0.22	0.49	0.82	0.002	0.002	0.004
42	0.671	0.392	0.494	0.206	0.00578	0.00164	0.22	0.6	1.4	0.22	0.49	0.82	0.004	0.005	0.009
43	0.671	0.391	0.495	0.205	0.0019	0.000538	0.22	0.6	1.4	0.22	0.49	0.82	0.001	0.002	0.003
44	0.669	0.39	0.495	0.205	0.0026	0.00074	0.22	0.6	1.4	0.22	0.49	0.82	0.002	0.002	0.004
45	0.668	0.389	0.495	0.205	0.00154	0.000435	0.22	0.61	1.4	0.22	0.49	0.82	0.001	0.001	0.002
46	0.666	0.389	0.494	0.205	0.00517	0.00148	0.21	0.6	1.4	0.22	0.49	0.82	0.004	0.005	0.008
47	0.665	0.388	0.495	0.205	0.00172	0.000489	0.21	0.6	1.4	0.22	0.49	0.82	0.001	0.002	0.003
48	0.663	0.388	0.495	0.205	0.0014	0.0004	0.21	0.6	1.4	0.22	0.49	0.82	0.001	0.001	0.002
49	0.662	0.387	0.495	0.205	0.00143	0.000409	0.21	0.6	1.4	0.22	0.49	0.82	0.001	0.001	0.002
50	0.66	0.386	0.494	0.205	0.0024	0.000686	0.21	0.6	1.4	0.22	0.49	0.82	0.002	0.002	0.004
51	0.659	0.386	0.494	0.205	0.00238	0.000686	0.21	0.59	1.4	0.22	0.49	0.82	0.002	0.002	0.004
52	0.656	0.386	0.494	0.206	0.00653	0.00193	0.21	0.59	1.4	0.22	0.49	0.82	0.005	0.006	0.01
53	0.655	0.385	0.494	0.206	0.00594	0.00175	0.21	0.59	1.4	0.22	0.49	0.82	0.004	0.005	0.009
54	0.655	0.384	0.494	0.205	0.00147	0.000428	0.21	0.59	1.4	0.22	0.49	0.82	0.001	0.001	0.002
55	0.654	0.384	0.494	0.205	0.00162	0.000471	0.21	0.59	1.4	0.22	0.49	0.82	0.001	0.001	0.002
56	0.652	0.383	0.494	0.205	0.00307	0.000896	0.21	0.58	1.4	0.22	0.49	0.82	0.002	0.003	0.005
57	0.651	0.383	0.495	0.205	0.00168	0.000487	0.21	0.58	1.4	0.22	0.49	0.82	0.001	0.002	0.003
58	0.649	0.382	0.494	0.205	0.00287	0.000839	0.21	0.58	1.4	0.22	0.49	0.82	0.002	0.003	0.004
59	0.647	0.382	0.494	0.206	0.00673	0.002	0.21	0.58	1.4	0.22	0.49	0.82	0.005	0.006	0.01
60	0.647	0.382	0.494	0.205	0.00217	0.000639	0.21	0.58	1.4	0.22	0.49	0.82	0.002	0.002	0.003
61	0.646	0.381	0.494	0.205	0.00297	0.000881	0.21	0.58	1.4	0.22	0.49	0.82	0.002	0.003	0.004
62	0.645	0.381	0.494	0.205	0.00171	0.000509	0.21	0.58	1.4	0.22	0.49	0.82	0.001	0.002	0.003
63	0.643	0.381	0.494	0.206	0.00586	0.00177	0.21	0.57	1.4	0.22	0.49	0.82	0.004	0.005	0.009
64	0.642	0.38	0.494	0.205	0.00193	0.000578	0.2	0.58	1.4	0.22	0.49	0.82	0.001	0.002	0.003
65	0.641	0.38	0.494	0.205	0.00155	0.000464	0.2	0.58	1.4	0.22	0.49	0.82	0.001	0.001	0.002
66	0.641	0.379	0.494	0.205	0.00159	0.000473	0.2	0.57	1.4	0.22	0.49	0.82	0.001	0.001	0.002
67	0.639	0.379	0.494	0.206	0.00268	0.000801	0.2	0.57	1.4	0.22	0.49	0.82	0.002	0.002	0.004
