Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.56	0.527	0.5	0.306	0.00269	0.00307	0.05	0.38	1.6	0.08	0.49	0.95	0.001	0.002	0.007
2	0.571	0.515	0.502	0.297	0.0029	0.00275	0.06	0.4	1.6	0.1	0.49	0.94	0.001	0.002	0.006
3	0.584	0.501	0.503	0.286	0.00144	0.0012	0.08	0.42	1.6	0.12	0.49	0.93	0.0008	0.001	0.003
4	0.599	0.489	0.503	0.275	0.00182	0.0014	0.1	0.45	1.6	0.13	0.49	0.92	0.001	0.002	0.003
5	0.619	0.478	0.502	0.263	0.00279	0.00189	0.13	0.48	1.6	0.15	0.49	0.91	0.002	0.002	0.005
6	0.634	0.47	0.501	0.255	0.00175	0.00124	0.14	0.51	1.6	0.16	0.49	0.9	0.001	0.002	0.003
7	0.646	0.463	0.501	0.248	0.00257	0.00195	0.15	0.52	1.6	0.17	0.49	0.89	0.002	0.002	0.004
8	0.663	0.458	0.499	0.241	0.0046	0.00294	0.17	0.55	1.6	0.18	0.49	0.88	0.003	0.004	0.007
9	0.675	0.453	0.499	0.235	0.00174	0.000868	0.18	0.57	1.5	0.18	0.49	0.87	0.001	0.002	0.003
10	0.68	0.449	0.499	0.232	0.0023	0.00102	0.19	0.58	1.5	0.19	0.49	0.87	0.002	0.002	0.004
11	0.683	0.445	0.499	0.23	0.00147	0.000544	0.19	0.59	1.5	0.19	0.49	0.86	0.001	0.001	0.002
12	0.688	0.441	0.498	0.227	0.004	0.00145	0.2	0.6	1.5	0.2	0.49	0.86	0.003	0.004	0.006
13	0.693	0.437	0.498	0.224	0.00149	0.000537	0.21	0.6	1.5	0.2	0.49	0.85	0.001	0.001	0.002
14	0.693	0.435	0.498	0.222	0.00127	0.000404	0.21	0.6	1.5	0.2	0.49	0.85	0.0009	0.001	0.002
15	0.693	0.432	0.498	0.221	0.00132	0.000399	0.21	0.61	1.5	0.2	0.49	0.84	0.0009	0.001	0.002
16	0.694	0.429	0.498	0.22	0.00206	0.00061	0.21	0.61	1.5	0.2	0.49	0.84	0.001	0.002	0.003
17	0.695	0.427	0.498	0.218	0.00203	0.000587	0.21	0.6	1.5	0.2	0.49	0.84	0.001	0.002	0.003
18	0.698	0.425	0.496	0.217	0.00485	0.00143	0.21	0.62	1.5	0.2	0.49	0.84	0.003	0.004	0.007
19	0.705	0.422	0.496	0.214	0.00412	0.00114	0.22	0.62	1.5	0.21	0.49	0.84	0.003	0.004	0.006
20	0.706	0.419	0.496	0.212	0.00113	0.000301	0.23	0.63	1.5	0.21	0.49	0.83	0.0008	0.001	0.002
21	0.704	0.417	0.497	0.212	0.00126	0.000335	0.22	0.62	1.5	0.21	0.49	0.83	0.0009	0.001	0.002
22	0.702	0.415	0.496	0.211	0.00232	0.000618	0.22	0.62	1.5	0.21	0.49	0.83	0.002	0.002	0.003
23	0.7	0.413	0.497	0.211	0.00131	0.000343	0.22	0.62	1.5	0.21	0.49	0.83	0.001	0.001	0.002
24	0.698	0.412	0.496	0.21	0.00219	0.000578	0.22	0.62	1.5	0.21	0.49	0.83	0.002	0.002	0.003
25	0.698	0.41	0.496	0.21	0.00479	0.00129	0.22	0.62	1.5	0.21	0.49	0.83	0.004	0.004	0.007
26	0.698	0.409	0.496	0.208	0.00163	0.000436	0.23	0.62	1.5	0.22	0.49	0.83	0.001	0.002	0.002
27	0.697	0.407	0.496	0.208	0.00224	0.000597	0.22	0.63	1.5	0.22	0.49	0.83	0.002	0.002	0.003
28	0.695	0.406	0.496	0.208	0.00136	0.00036	0.22	0.62	1.5	0.22	0.49	0.83	0.001	0.001	0.002
29	0.692	0.405	0.495	0.208	0.00433	0.00117	0.22	0.62	1.5	0.21	0.49	0.83	0.003	0.004	0.006
30	0.692	0.404	0.496	0.207	0.0015	0.000402	0.22	0.62	1.5	0.22	0.49	0.82	0.001	0.001	0.002
31	0.69	0.403	0.495	0.207	0.00125	0.000338	0.22	0.62	1.5	0.22	0.49	0.82	0.0009	0.001	0.002
32	0.687	0.402	0.496	0.207	0.00128	0.000346	0.22	0.61	1.4	0.22	0.49	0.82	0.0009	0.001	0.002
33	0.685	0.4	0.495	0.207	0.00212	0.000579	0.22	0.62	1.4	0.22	0.49	0.82	0.002	0.002	0.003
34	0.683	0.399	0.495	0.207	0.00212	0.000583	0.22	0.62	1.4	0.22	0.49	0.82	0.002	0.002	0.003
35	0.681	0.399	0.495	0.207	0.00561	0.00159	0.22	0.62	1.4	0.22	0.49	0.82	0.004	0.005	0.008
36	0.681	0.397	0.495	0.206	0.00503	0.00139	0.22	0.61	1.4	0.22	0.49	0.82	0.004	0.005	0.007
37	0.682	0.396	0.495	0.205	0.00128	0.00035	0.22	0.61	1.4	0.22	0.49	0.82	0.0009	0.001	0.002
38	0.679	0.395	0.495	0.205	0.00143	0.00039	0.22	0.61	1.4	0.22	0.49	0.82	0.001	0.001	0.002
39	0.677	0.394	0.495	0.205	0.00268	0.000736	0.22	0.61	1.4	0.22	0.49	0.82	0.002	0.002	0.004
