Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.524	0.543	0.51	0.32	0.0189	0.0215	0.03	0.36	1.6	0.07	0.53	0.98	0.005	0.009	0.07
2	0.527	0.534	0.514	0.311	0.0294	0.0301	0.04	0.35	1.6	0.09	0.52	0.97	0.009	0.02	0.11
3	0.524	0.525	0.518	0.303	0.0383	0.0334	0.06	0.36	1.6	0.11	0.52	0.98	0.01	0.03	0.12
4	0.517	0.518	0.521	0.299	0.0463	0.0327	0.07	0.35	1.6	0.13	0.52	0.98	0.02	0.03	0.11
5	0.512	0.511	0.524	0.297	0.0541	0.0331	0.07	0.34	1.6	0.14	0.52	0.98	0.02	0.04	0.12
6	0.507	0.504	0.525	0.294	0.053	0.0282	0.08	0.34	1.6	0.15	0.52	0.98	0.02	0.04	0.11
7	0.502	0.498	0.527	0.293	0.0594	0.0289	0.09	0.32	1.5	0.16	0.51	0.98	0.03	0.05	0.11
8	0.502	0.492	0.529	0.29	0.0672	0.0314	0.09	0.32	1.5	0.17	0.51	0.98	0.03	0.06	0.12
9	0.499	0.486	0.531	0.288	0.057	0.0245	0.1	0.32	1.5	0.17	0.51	0.98	0.03	0.05	0.1
10	0.494	0.482	0.531	0.287	0.0616	0.0252	0.1	0.31	1.5	0.17	0.51	0.98	0.03	0.06	0.1
11	0.49	0.477	0.532	0.286	0.0557	0.0213	0.1	0.31	1.5	0.18	0.51	0.98	0.03	0.05	0.09
12	0.487	0.474	0.533	0.285	0.0724	0.0274	0.1	0.31	1.5	0.18	0.51	0.98	0.04	0.07	0.12
13	0.486	0.468	0.535	0.283	0.0568	0.0199	0.11	0.31	1.5	0.19	0.51	0.98	0.03	0.05	0.09
14	0.481	0.465	0.534	0.283	0.0544	0.0186	0.11	0.31	1.5	0.19	0.51	0.98	0.03	0.05	0.08
15	0.477	0.462	0.534	0.283	0.0547	0.0185	0.11	0.3	1.5	0.19	0.5	0.98	0.03	0.05	0.09
16	0.474	0.459	0.534	0.283	0.0635	0.0211	0.11	0.3	1.4	0.19	0.51	0.98	0.04	0.06	0.1
17	0.472	0.455	0.535	0.282	0.0633	0.0203	0.11	0.3	1.4	0.19	0.51	0.98	0.04	0.06	0.09
18	0.471	0.453	0.535	0.281	0.0808	0.0261	0.11	0.3	1.4	0.19	0.51	0.98	0.05	0.08	0.12
19	0.472	0.448	0.537	0.279	0.0775	0.0236	0.12	0.3	1.4	0.2	0.51	0.98	0.05	0.08	0.11
20	0.47	0.444	0.539	0.278	0.0535	0.0155	0.12	0.3	1.4	0.2	0.5	0.98	0.03	0.05	0.08
21	0.466	0.443	0.537	0.278	0.0541	0.0162	0.11	0.29	1.4	0.19	0.5	0.98	0.03	0.05	0.08
22	0.463	0.441	0.536	0.278	0.066	0.0199	0.11	0.29	1.4	0.19	0.5	0.98	0.04	0.07	0.1
23	0.46	0.437	0.537	0.278	0.0547	0.0159	0.12	0.28	1.4	0.2	0.5	0.98	0.03	0.05	0.08
24	0.457	0.436	0.536	0.278	0.0648	0.0192	0.11	0.28	1.4	0.2	0.5	0.98	0.04	0.07	0.09
25	0.456	0.435	0.536	0.278	0.0822	0.0248	0.11	0.28	1.4	0.19	0.51	0.98	0.05	0.08	0.12
26	0.456	0.43	0.538	0.277	0.0588	0.0164	0.12	0.28	1.4	0.2	0.5	0.98	0.04	0.06	0.08
27	0.452	0.429	0.537	0.277	0.0647	0.0186	0.12	0.28	1.4	0.2	0.5	0.98	0.04	0.06	0.09
28	0.451	0.427	0.537	0.277	0.0538	0.0152	0.12	0.28	1.4	0.2	0.5	0.98	0.03	0.05	0.08
29	0.448	0.427	0.536	0.277	0.0799	0.0236	0.11	0.28	1.3	0.2	0.5	0.98	0.05	0.08	0.12
30	0.448	0.423	0.538	0.276	0.0562	0.0154	0.12	0.28	1.3	0.2	0.5	0.98	0.04	0.06	0.08
31	0.445	0.422	0.537	0.277	0.0519	0.0146	0.12	0.28	1.3	0.2	0.5	0.98	0.03	0.05	0.07
32	0.443	0.421	0.536	0.276	0.0513	0.0146	0.11	0.27	1.3	0.2	0.5	0.98	0.03	0.05	0.08
33	0.44	0.42	0.535	0.276	0.0621	0.0178	0.11	0.27	1.3	0.2	0.5	0.98	0.04	0.06	0.09
34	0.439	0.418	0.535	0.277	0.0617	0.0173	0.11	0.27	1.3	0.2	0.5	0.98	0.04	0.06	0.09
35	0.438	0.418	0.533	0.276	0.0854	0.0252	0.11	0.27	1.3	0.19	0.5	0.98	0.05	0.08	0.13
36	0.438	0.415	0.535	0.276	0.0827	0.0235	0.11	0.27	1.3	0.2	0.5	0.98	0.05	0.08	0.12
37	0.438	0.412	0.538	0.275	0.052	0.0135	0.12	0.27	1.3	0.2	0.49	0.98	0.03	0.05	0.07
38	0.435	0.412	0.535	0.276	0.0529	0.0145	0.11	0.27	1.3	0.2	0.49	0.98	0.03	0.05	0.08
39	0.433	0.412	0.534	0.276	0.0662	0.0187	0.11	0.27	1.3	0.2	0.49	0.98	0.04	0.07	0.1
40	0.432	0.409	0.535	0.276	0.053	0.0144	0.11	0.27	1.3	0.2	0.49	0.98	0.03	0.05	0.08
41	0.43	0.409	0.534	0.276	0.0642	0.0181	0.11	0.27	1.3	0.2	0.49	0.98	0.04	0.06	0.09
42	0.429	0.409	0.533	0.276	0.0847	0.0248	0.11	0.27	1.3	0.2	0.49	0.98	0.05	0.08	0.13
43	0.429	0.405	0.536	0.276	0.0582	0.0154	0.12	0.26	1.3	0.2	0.49	0.98	0.04	0.06	0.08
44	0.427	0.406	0.534	0.275	0.0639	0.0176	0.11	0.27	1.3	0.2	0.49	0.98	0.04	0.06	0.09
45	0.426	0.404	0.535	0.275	0.0517	0.014	0.11	0.26	1.3	0.2	0.49	0.98	0.03	0.05	0.07
46	0.424	0.405	0.533	0.275	0.0808	0.0234	0.11	0.26	1.3	0.2	0.49	0.98	0.05	0.08	0.12
47	0.425	0.402	0.535	0.275	0.0543	0.0144	0.11	0.26	1.3	0.2	0.49	0.98	0.04	0.05	0.08
48	0.423	0.401	0.534	0.275	0.0493	0.0132	0.11	0.26	1.3	0.2	0.49	0.98	0.03	0.05	0.07
49	0.422	0.401	0.533	0.276	0.0493	0.0135	0.11	0.26	1.3	0.2	0.49	0.98	0.03	0.05	0.07
50	0.42	0.401	0.532	0.275	0.0606	0.0171	0.11	0.26	1.3	0.2	0.49	0.98	0.04	0.06	0.09
51	0.419	0.4	0.532	0.276	0.0597	0.0165	0.11	0.26	1.3	0.2	0.49	0.98	0.04	0.06	0.09
52	0.418	0.401	0.531	0.276	0.0859	0.0253	0.1	0.26	1.3	0.2	0.49	0.98	0.05	0.09	0.13
53	0.418	0.399	0.532	0.275	0.0828	0.0233	0.11	0.26	1.3	0.2	0.49	0.98	0.05	0.08	0.12
54	0.419	0.396	0.535	0.275	0.0496	0.0126	0.12	0.26	1.3	0.21	0.49	0.98	0.03	0.05	0.07
55	0.417	0.396	0.533	0.275	0.0504	0.0135	0.11	0.26	1.3	0.2	0.49	0.98	0.03	0.05	0.07
56	0.416	0.397	0.532	0.275	0.0645	0.0181	0.11	0.25	1.3	0.2	0.49	0.98	0.04	0.06	0.09
57	0.415	0.395	0.533	0.275	0.0509	0.0136	0.11	0.25	1.2	0.2	0.48	0.98	0.03	0.05	0.07
58	0.414	0.396	0.531	0.275	0.0624	0.0176	0.11	0.26	1.2	0.2	0.49	0.98	0.04	0.06	0.09
59	0.413	0.397	0.53	0.275	0.0844	0.0251	0.1	0.25	1.2	0.2	0.49	0.98	0.05	0.08	0.13
60	0.413	0.393	0.534	0.275	0.0565	0.0149	0.11	0.25	1.2	0.2	0.48	0.98	0.04	0.06	0.08
61	0.412	0.394	0.532	0.275	0.0623	0.0173	0.11	0.26	1.2	0.2	0.49	0.98	0.04	0.06	0.09
62	0.412	0.392	0.533	0.276	0.05	0.0133	0.11	0.25	1.2	0.2	0.49	0.98	0.03	0.05	0.07
63	0.411	0.394	0.53	0.275	0.0796	0.0234	0.1	0.25	1.2	0.2	0.49	0.98	0.05	0.08	0.12
64	0.411	0.391	0.533	0.275	0.0527	0.0139	0.11	0.25	1.2	0.2	0.49	0.98	0.03	0.05	0.08
65	0.41	0.391	0.532	0.276	0.0477	0.0127	0.11	0.25	1.2	0.2	0.49	0.98	0.03	0.05	0.07
66	0.409	0.391	0.531	0.276	0.0474	0.0129	0.11	0.25	1.2	0.2	0.49	0.98	0.03	0.05	0.07
67	0.408	0.392	0.53	0.275	0.0582	0.0164	0.1	0.25	1.2	0.2	0.49	0.98	0.04	0.06	0.09
