Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
50	1.43	1.11	0.562	0.383	0.833	1.17	0.0	1.3	3.1	0.0	0.58	0.98	0.11	0.13	2.9
51	1.42	1.1	0.562	0.382	0.827	1.16	0.0	1.3	3.1	0.0	0.58	0.98	0.11	0.13	2.9
52	1.43	1.07	0.554	0.369	1.14	1.64	0.0	1.4	3.0	0.0	0.6	0.96	0.14	0.16	4.0
53	1.46	1.07	0.557	0.371	1.11	1.59	0.0	1.4	3.0	0.0	0.61	0.96	0.13	0.15	3.9
54	1.46	1.12	0.565	0.386	0.704	0.989	0.0	1.4	3.1	0.0	0.58	0.99	0.09	0.11	2.5
55	1.43	1.11	0.566	0.387	0.714	0.998	0.0	1.3	3.1	0.0	0.58	0.99	0.09	0.12	2.5
56	1.41	1.09	0.563	0.382	0.883	1.24	0.0	1.3	3.0	0.0	0.58	0.98	0.11	0.14	3.1
57	1.41	1.1	0.565	0.387	0.711	0.991	0.0	1.2	3.0	0.0	0.58	0.99	0.09	0.12	2.4
58	1.39	1.09	0.564	0.383	0.852	1.19	0.0	1.2	3.0	0.0	0.58	0.98	0.11	0.13	2.9
59	1.4	1.05	0.557	0.372	1.11	1.58	0.0	1.3	2.9	0.0	0.6	0.96	0.14	0.16	3.9
60	1.41	1.09	0.564	0.384	0.778	1.09	0.0	1.3	3.0	0.0	0.59	0.99	0.1	0.12	2.7
61	1.39	1.08	0.564	0.383	0.856	1.2	0.0	1.3	3.0	0.0	0.59	0.98	0.11	0.14	3.0
62	1.38	1.09	0.565	0.387	0.698	0.97	0.0	1.2	3.0	0.0	0.58	0.99	0.1	0.12	2.4
63	1.37	1.05	0.559	0.375	1.06	1.5	0.0	1.2	2.9	0.0	0.6	0.97	0.14	0.16	3.7
64	1.38	1.08	0.565	0.386	0.73	1.02	0.0	1.2	3.0	0.0	0.58	0.99	0.1	0.12	2.5
65	1.36	1.08	0.567	0.389	0.668	0.923	0.0	1.2	3.0	0.0	0.57	0.99	0.09	0.12	2.3
66	1.35	1.08	0.567	0.389	0.661	0.909	0.0	1.1	3.0	0.0	0.58	0.99	0.09	0.12	2.3
67	1.34	1.06	0.565	0.385	0.798	1.1	0.0	1.1	3.0	0.0	0.58	0.99	0.11	0.14	2.8
