Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.504	0.497	0.478	0.294	0.00202	0.00201	0.05	0.35	1.5	0.08	0.48	0.93	0.0009	0.001	0.005
2	0.509	0.488	0.479	0.288	0.00243	0.0021	0.05	0.36	1.5	0.09	0.48	0.92	0.001	0.002	0.005
3	0.515	0.476	0.481	0.281	0.00133	0.00113	0.07	0.37	1.5	0.1	0.48	0.92	0.0007	0.001	0.003
4	0.522	0.463	0.482	0.274	0.00179	0.00156	0.08	0.37	1.5	0.11	0.48	0.91	0.001	0.001	0.003
5	0.531	0.454	0.482	0.267	0.00296	0.00269	0.08	0.39	1.5	0.12	0.48	0.91	0.002	0.002	0.005
6	0.538	0.445	0.482	0.262	0.00193	0.00171	0.09	0.41	1.5	0.13	0.48	0.9	0.001	0.002	0.003
7	0.543	0.437	0.482	0.258	0.00292	0.00257	0.11	0.42	1.5	0.14	0.47	0.89	0.002	0.002	0.005
8	0.552	0.432	0.481	0.252	0.00544	0.00475	0.11	0.44	1.4	0.14	0.47	0.88	0.003	0.005	0.009
9	0.557	0.426	0.482	0.248	0.0021	0.00187	0.12	0.46	1.4	0.14	0.48	0.88	0.001	0.002	0.003
10	0.558	0.422	0.481	0.246	0.0028	0.00238	0.12	0.47	1.4	0.15	0.48	0.88	0.002	0.002	0.004
11	0.559	0.417	0.482	0.244	0.0018	0.00149	0.12	0.47	1.4	0.15	0.48	0.88	0.001	0.002	0.003
12	0.562	0.413	0.481	0.242	0.00499	0.00416	0.13	0.47	1.4	0.15	0.47	0.87	0.003	0.004	0.008
13	0.564	0.408	0.481	0.239	0.00187	0.00161	0.14	0.48	1.4	0.16	0.47	0.87	0.001	0.002	0.003
14	0.563	0.404	0.481	0.238	0.0016	0.00134	0.14	0.47	1.4	0.16	0.47	0.87	0.001	0.001	0.002
15	0.561	0.401	0.481	0.238	0.00165	0.00138	0.14	0.47	1.4	0.16	0.48	0.87	0.001	0.001	0.003
16	0.56	0.397	0.481	0.236	0.00262	0.00218	0.14	0.47	1.4	0.16	0.47	0.87	0.002	0.002	0.004
17	0.561	0.394	0.481	0.235	0.00259	0.00215	0.14	0.47	1.4	0.17	0.47	0.87	0.002	0.002	0.004
18	0.562	0.392	0.48	0.234	0.00626	0.00517	0.14	0.48	1.4	0.16	0.47	0.86	0.004	0.005	0.01
19	0.566	0.389	0.479	0.232	0.00536	0.00429	0.15	0.48	1.4	0.17	0.47	0.86	0.004	0.005	0.008
20	0.566	0.386	0.48	0.23	0.00146	0.00116	0.15	0.48	1.4	0.17	0.47	0.86	0.001	0.001	0.002
21	0.564	0.384	0.48	0.23	0.00163	0.00127	0.15	0.48	1.4	0.17	0.48	0.86	0.001	0.001	0.002
22	0.562	0.382	0.48	0.229	0.00301	0.00237	0.15	0.48	1.4	0.17	0.48	0.86	0.002	0.003	0.005
