Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.547	0.531	0.501	0.301	0.00053	0.000407	0.05	0.36	1.7	0.09	0.49	0.96	0.0003	0.0004	0.001
2	0.544	0.521	0.502	0.299	0.000649	0.000446	0.06	0.36	1.7	0.09	0.49	0.95	0.0003	0.0005	0.001
3	0.54	0.508	0.503	0.295	0.000343	0.000231	0.06	0.37	1.6	0.1	0.49	0.95	0.0002	0.0003	0.0008
4	0.536	0.492	0.504	0.291	0.000475	0.000297	0.07	0.37	1.6	0.11	0.49	0.95	0.0002	0.0004	0.001
5	0.534	0.479	0.504	0.287	0.000833	0.000485	0.08	0.37	1.5	0.11	0.49	0.95	0.0004	0.0007	0.002
6	0.532	0.468	0.505	0.285	0.000562	0.000313	0.08	0.37	1.5	0.12	0.49	0.95	0.0003	0.0005	0.001
7	0.529	0.458	0.505	0.283	0.000888	0.000468	0.09	0.37	1.5	0.13	0.49	0.95	0.0005	0.0007	0.002
8	0.529	0.45	0.505	0.28	0.00177	0.000861	0.09	0.38	1.5	0.13	0.49	0.94	0.0009	0.002	0.003
9	0.528	0.443	0.506	0.278	0.000686	0.000342	0.1	0.38	1.5	0.14	0.49	0.94	0.0004	0.0006	0.001
10	0.525	0.436	0.506	0.276	0.000931	0.000449	0.11	0.38	1.4	0.14	0.49	0.94	0.0005	0.0008	0.002
11	0.523	0.43	0.505	0.275	0.000606	0.000291	0.11	0.37	1.4	0.14	0.48	0.94	0.0003	0.0005	0.001
12	0.521	0.424	0.505	0.274	0.00175	0.000784	0.11	0.38	1.4	0.14	0.48	0.94	0.0009	0.002	0.003
13	0.52	0.419	0.505	0.273	0.000652	0.000301	0.11	0.38	1.4	0.15	0.48	0.94	0.0003	0.0006	0.001
14	0.517	0.414	0.505	0.272	0.000561	0.00026	0.12	0.37	1.4	0.15	0.48	0.94	0.0003	0.0005	0.001
15	0.514	0.41	0.505	0.272	0.000583	0.000271	0.12	0.37	1.4	0.15	0.48	0.94	0.0003	0.0005	0.001
16	0.513	0.406	0.505	0.271	0.000936	0.000424	0.12	0.37	1.4	0.15	0.48	0.94	0.0005	0.0008	0.002
17	0.511	0.402	0.505	0.27	0.000932	0.000415	0.12	0.37	1.4	0.15	0.48	0.94	0.0005	0.0008	0.002
18	0.51	0.399	0.504	0.27	0.00233	0.000971	0.12	0.37	1.4	0.15	0.48	0.94	0.001	0.002	0.004
19	0.51	0.396	0.504	0.268	0.00203	0.000836	0.12	0.37	1.4	0.15	0.48	0.94	0.001	0.002	0.003
20	0.509	0.392	0.504	0.267	0.000545	0.000241	0.13	0.38	1.3	0.16	0.48	0.93	0.0003	0.0005	0.001
21	0.506	0.39	0.504	0.267	0.00061	0.000267	0.13	0.37	1.3	0.16	0.48	0.93	0.0003	0.0006	0.001
22	0.505	0.387	0.504	0.266	0.00114	0.000477	0.13	0.37	1.3	0.16	0.48	0.94	0.0006	0.001	0.002
23	0.503	0.385	0.504	0.266	0.000639	0.000275	0.13	0.37	1.3	0.16	0.48	0.93	0.0004	0.0006	0.001
24	0.501	0.383	0.504	0.266	0.00108	0.000452	0.13	0.37	1.3	0.16	0.48	0.93	0.0006	0.001	0.002
25	0.499	0.381	0.504	0.266	0.00242	0.000958	0.13	0.37	1.3	0.16	0.48	0.93	0.001	0.002	0.004
26	0.498	0.379	0.504	0.264	0.000804	0.000343	0.13	0.37	1.3	0.16	0.48	0.93	0.0004	0.0007	0.001
27	0.496	0.378	0.504	0.264	0.00111	0.000472	0.13	0.37	1.3	0.16	0.48	0.93	0.0006	0.001	0.002
28	0.495	0.376	0.504	0.264	0.000667	0.00029	0.13	0.37	1.3	0.16	0.48	0.93	0.0004	0.0006	0.001
29	0.493	0.375	0.503	0.265	0.00219	0.000874	0.13	0.37	1.3	0.16	0.48	0.93	0.001	0.002	0.004
30	0.492	0.373	0.503	0.263	0.000735	0.000313	0.13	0.36	1.3	0.16	0.48	0.93	0.0004	0.0007	0.001
31	0.49	0.371	0.503	0.264	0.000613	0.000268	0.13	0.36	1.3	0.16	0.48	0.93	0.0003	0.0006	0.001
32	0.488	0.37	0.503	0.264	0.000624	0.000268	0.13	0.36	1.3	0.16	0.47	0.93	0.0003	0.0006	0.001
33	0.486	0.369	0.503	0.263	0.00106	0.000443	0.13	0.36	1.3	0.16	0.47	0.93	0.0006	0.001	0.002
34	0.485	0.367	0.503	0.263	0.00105	0.000435	0.13	0.36	1.3	0.16	0.48	0.93	0.0006	0.001	0.002
35	0.483	0.367	0.503	0.264	0.00286	0.00112	0.13	0.36	1.3	0.16	0.47	0.93	0.002	0.003	0.005
36	0.483	0.365	0.503	0.263	0.00257	0.00101	0.13	0.36	1.3	0.16	0.48	0.93	0.001	0.002	0.004
37	0.482	0.364	0.503	0.262	0.000632	0.000276	0.13	0.36	1.3	0.16	0.47	0.93	0.0004	0.0006	0.001
