Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
38	0.48	0.363	0.503	0.263	0.00071	0.000323	0.13	0.36	1.3	0.16	0.47	0.93	0.0004	0.0006	0.001
39	0.479	0.362	0.503	0.262	0.00135	0.00055	0.13	0.36	1.3	0.16	0.47	0.93	0.0008	0.001	0.002
40	0.478	0.361	0.503	0.262	0.000737	0.000314	0.13	0.36	1.2	0.16	0.48	0.93	0.0004	0.0007	0.001
41	0.476	0.36	0.503	0.262	0.00127	0.000521	0.12	0.35	1.2	0.16	0.48	0.93	0.0007	0.001	0.002
42	0.475	0.359	0.502	0.263	0.00296	0.00114	0.12	0.35	1.2	0.16	0.47	0.93	0.002	0.003	0.005
43	0.474	0.358	0.503	0.262	0.000947	0.000399	0.12	0.35	1.2	0.16	0.47	0.93	0.0005	0.0009	0.002
44	0.473	0.357	0.503	0.262	0.00131	0.00054	0.12	0.35	1.2	0.16	0.47	0.93	0.0007	0.001	0.002
45	0.472	0.356	0.503	0.262	0.000764	0.000328	0.12	0.35	1.2	0.16	0.47	0.93	0.0004	0.0007	0.001
46	0.471	0.356	0.502	0.262	0.00263	0.00103	0.12	0.35	1.2	0.16	0.47	0.93	0.001	0.002	0.004
47	0.47	0.355	0.502	0.262	0.000853	0.000364	0.12	0.35	1.2	0.16	0.47	0.93	0.0005	0.0008	0.001
48	0.469	0.354	0.502	0.262	0.00069	0.000301	0.12	0.35	1.2	0.16	0.47	0.93	0.0004	0.0006	0.001
49	0.468	0.354	0.502	0.262	0.000705	0.000309	0.12	0.35	1.2	0.16	0.47	0.93	0.0004	0.0006	0.001
50	0.467	0.353	0.502	0.262	0.0012	0.000498	0.12	0.35	1.2	0.16	0.47	0.93	0.0007	0.001	0.002
51	0.466	0.353	0.502	0.262	0.00119	0.000494	0.12	0.35	1.2	0.16	0.47	0.93	0.0007	0.001	0.002
52	0.464	0.352	0.502	0.263	0.00334	0.00128	0.12	0.34	1.2	0.16	0.47	0.93	0.002	0.003	0.005
53	0.464	0.352	0.502	0.262	0.00302	0.00118	0.12	0.34	1.2	0.16	0.47	0.93	0.002	0.003	0.005
54	0.463	0.351	0.502	0.262	0.000717	0.000307	0.12	0.34	1.2	0.16	0.47	0.93	0.0004	0.0007	0.001
55	0.462	0.35	0.502	0.262	0.000794	0.000345	0.12	0.34	1.2	0.16	0.47	0.93	0.0004	0.0007	0.001
56	0.461	0.35	0.502	0.262	0.00154	0.00063	0.12	0.34	1.2	0.16	0.47	0.93	0.0009	0.001	0.003
57	0.461	0.349	0.502	0.262	0.000822	0.000354	0.12	0.34	1.2	0.16	0.47	0.93	0.0005	0.0008	0.001
58	0.46	0.349	0.502	0.262	0.00143	0.000591	0.12	0.34	1.2	0.16	0.47	0.93	0.0008	0.001	0.002
59	0.459	0.349	0.502	0.262	0.00342	0.00131	0.12	0.34	1.2	0.16	0.47	0.93	0.002	0.003	0.005
60	0.459	0.348	0.502	0.261	0.00106	0.000447	0.12	0.34	1.2	0.17	0.47	0.93	0.0006	0.001	0.002
61	0.458	0.348	0.502	0.261	0.00148	0.000624	0.12	0.34	1.2	0.17	0.47	0.93	0.0008	0.001	0.002
62	0.457	0.347	0.502	0.261	0.000845	0.000367	0.12	0.34	1.2	0.16	0.47	0.93	0.0005	0.0008	0.001
63	0.456	0.347	0.501	0.262	0.00297	0.00115	0.12	0.34	1.2	0.16	0.47	0.93	0.002	0.003	0.005
64	0.456	0.347	0.502	0.261	0.000944	0.000401	0.12	0.34	1.2	0.16	0.47	0.93	0.0005	0.0009	0.002
65	0.455	0.346	0.502	0.262	0.000757	0.00033	0.12	0.34	1.2	0.16	0.47	0.93	0.0004	0.0007	0.001
66	0.454	0.346	0.501	0.262	0.000764	0.000331	0.12	0.34	1.2	0.16	0.47	0.93	0.0004	0.0007	0.001
67	0.454	0.346	0.501	0.262	0.00132	0.000559	0.12	0.34	1.2	0.16	0.47	0.93	0.0007	0.001	0.002
