Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	4.59	1.02	0.498	0.0466	0.00025	4.73e-05	3.3	4.5	6.4	0.44	0.5	0.58	0.0002	0.0002	0.0003
2	4.57	1.03	0.499	0.0479	0.000285	5.69e-05	3.3	4.5	6.4	0.44	0.5	0.58	0.0002	0.0003	0.0004
3	4.56	1.05	0.5	0.0501	0.00016	3.42e-05	3.3	4.5	6.4	0.43	0.5	0.58	0.0001	0.0002	0.0002
4	4.52	1.05	0.5	0.0512	0.000211	5.07e-05	3.2	4.4	6.3	0.43	0.5	0.58	0.0002	0.0002	0.0003
5	4.49	1.07	0.5	0.0528	0.00034	9.68e-05	3.1	4.4	6.3	0.43	0.5	0.58	0.0002	0.0003	0.0005
6	4.48	1.08	0.5	0.0525	0.000228	7.45e-05	3.1	4.4	6.3	0.43	0.5	0.58	0.0002	0.0002	0.0003
7	4.48	1.09	0.5	0.0531	0.000341	0.000125	3.1	4.4	6.2	0.43	0.5	0.58	0.0002	0.0003	0.0005
8	4.47	1.07	0.5	0.0512	0.000604	0.000245	3.1	4.4	6.2	0.43	0.5	0.58	0.0004	0.0005	0.001
9	4.52	1.09	0.501	0.0537	0.000255	0.000112	3.2	4.5	6.3	0.43	0.5	0.58	0.0002	0.0002	0.0004
10	4.51	1.1	0.501	0.0545	0.000337	0.000158	3.2	4.4	6.3	0.43	0.5	0.58	0.0002	0.0003	0.0005
11	4.5	1.1	0.501	0.0538	0.000226	0.000113	3.1	4.5	6.3	0.43	0.5	0.58	0.0002	0.0002	0.0004
12	4.49	1.08	0.501	0.0529	0.000588	0.000299	3.2	4.5	6.3	0.43	0.5	0.58	0.0004	0.0005	0.001
13	4.53	1.1	0.501	0.0543	0.000238	0.000126	3.2	4.5	6.3	0.43	0.5	0.58	0.0002	0.0002	0.0004
14	4.49	1.1	0.501	0.0539	0.000207	0.000114	3.1	4.5	6.3	0.43	0.5	0.58	0.0001	0.0002	0.0003
15	4.48	1.1	0.501	0.0541	0.000213	0.000121	3.1	4.5	6.3	0.43	0.5	0.58	0.0001	0.0002	0.0004
16	4.48	1.11	0.501	0.0547	0.00033	0.000192	3.1	4.5	6.3	0.43	0.5	0.58	0.0002	0.0003	0.0006
17	4.48	1.11	0.501	0.0547	0.00033	0.000197	3.1	4.5	6.2	0.43	0.5	0.59	0.0002	0.0003	0.0005
18	4.45	1.07	0.501	0.0515	0.000748	0.000446	3.1	4.5	6.2	0.43	0.5	0.59	0.0005	0.0006	0.001
19	4.5	1.08	0.501	0.0523	0.000653	0.000403	3.1	4.5	6.2	0.43	0.5	0.58	0.0004	0.0006	0.001
20	4.53	1.1	0.501	0.0535	0.000195	0.000124	3.2	4.6	6.3	0.43	0.5	0.59	0.0001	0.0002	0.0003
21	4.49	1.1	0.501	0.0538	0.000216	0.000138	3.1	4.5	6.3	0.43	0.5	0.59	0.0001	0.0002	0.0004
22	4.49	1.11	0.501	0.0546	0.000385	0.000246	3.1	4.5	6.3	0.43	0.5	0.59	0.0002	0.0003	0.0006
23	4.47	1.1	0.501	0.0543	0.000226	0.000143	3.1	4.5	6.2	0.43	0.5	0.59	0.0001	0.0002	0.0004
24	4.48	1.1	0.501	0.0544	0.000364	0.000229	3.1	4.5	6.3	0.43	0.5	0.59	0.0002	0.0003	0.0006
25	4.45	1.07	0.501	0.0522	0.000753	0.000468	3.1	4.5	6.2	0.44	0.5	0.59	0.0005	0.0006	0.001
26	4.48	1.09	0.501	0.0541	0.000275	0.000175	3.1	4.5	6.2	0.43	0.5	0.58	0.0002	0.0002	0.0005
27	4.46	1.09	0.501	0.0544	0.00037	0.000237	3.1	4.5	6.2	0.43	0.5	0.59	0.0002	0.0003	0.0006
28	4.45	1.09	0.501	0.054	0.00023	0.000147	3.1	4.5	6.2	0.43	0.5	0.59	0.0001	0.0002	0.0004
29	4.42	1.07	0.501	0.0524	0.000679	0.000428	3.1	4.5	6.1	0.43	0.5	0.58	0.0004	0.0006	0.001
30	4.45	1.09	0.501	0.054	0.00025	0.000159	3.1	4.5	6.2	0.43	0.5	0.59	0.0002	0.0002	0.0004
31	4.43	1.08	0.501	0.0533	0.000209	0.000135	3.1	4.4	6.2	0.43	0.5	0.58	0.0001	0.0002	0.0004
32	4.42	1.08	0.501	0.0537	0.000214	0.000139	3.1	4.4	6.1	0.43	0.5	0.58	0.0001	0.0002	0.0004
33	4.4	1.08	0.501	0.0545	0.000343	0.000224	3.1	4.4	6.1	0.43	0.5	0.59	0.0002	0.0003	0.0006
34	4.39	1.08	0.501	0.0542	0.000345	0.000224	3.1	4.4	6.1	0.43	0.5	0.59	0.0002	0.0003	0.0006
35	4.36	1.05	0.501	0.0512	0.000851	0.000535	3.1	4.4	6.0	0.44	0.5	0.58	0.0006	0.0007	0.001
36	4.37	1.05	0.501	0.0517	0.000771	0.000489	3.1	4.4	6.0	0.43	0.5	0.58	0.0005	0.0006	0.001
37	4.39	1.07	0.502	0.0529	0.000214	0.000139	3.1	4.4	6.1	0.43	0.5	0.59	0.0001	0.0002	0.0004
38	4.38	1.07	0.501	0.0537	0.000235	0.000151	3.1	4.4	6.1	0.43	0.5	0.59	0.0002	0.0002	0.0004
39	4.36	1.08	0.502	0.0545	0.000428	0.000275	3.0	4.4	6.1	0.43	0.5	0.59	0.0003	0.0004	0.0007
40	4.36	1.07	0.502	0.0537	0.000244	0.000156	3.0	4.4	6.1	0.43	0.5	0.59	0.0002	0.0002	0.0004
