Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
41	4.36	1.07	0.502	0.0542	0.000398	0.000251	3.0	4.4	6.1	0.43	0.5	0.59	0.0003	0.0003	0.0007
42	4.31	1.04	0.501	0.0517	0.000857	0.000526	3.1	4.4	6.0	0.44	0.5	0.58	0.0006	0.0007	0.002
43	4.34	1.06	0.502	0.0542	0.000302	0.000188	3.0	4.4	6.0	0.43	0.5	0.59	0.0002	0.0003	0.0005
44	4.33	1.06	0.502	0.0545	0.000406	0.000255	3.0	4.4	6.0	0.43	0.5	0.59	0.0003	0.0003	0.0007
45	4.32	1.06	0.501	0.0539	0.000246	0.000155	3.0	4.3	6.0	0.43	0.5	0.59	0.0002	0.0002	0.0004
46	4.3	1.05	0.501	0.0528	0.00077	0.000475	3.0	4.3	5.9	0.44	0.5	0.59	0.0005	0.0006	0.001
47	4.31	1.06	0.502	0.0539	0.000274	0.00017	3.0	4.4	6.0	0.43	0.5	0.59	0.0002	0.0002	0.0005
48	4.3	1.05	0.501	0.0534	0.000223	0.000139	3.0	4.3	5.9	0.43	0.5	0.58	0.0001	0.0002	0.0004
49	4.3	1.06	0.501	0.0538	0.000228	0.000142	3.0	4.3	5.9	0.43	0.5	0.59	0.0001	0.0002	0.0004
50	4.29	1.05	0.501	0.054	0.000371	0.000231	3.0	4.3	5.9	0.43	0.5	0.59	0.0002	0.0003	0.0007
51	4.28	1.05	0.501	0.0538	0.000368	0.00023	3.0	4.3	5.9	0.43	0.5	0.59	0.0002	0.0003	0.0007
52	4.24	1.02	0.501	0.051	0.000942	0.000574	3.0	4.3	5.8	0.44	0.5	0.58	0.0006	0.0008	0.002
53	4.25	1.03	0.502	0.052	0.000863	0.000525	3.0	4.3	5.9	0.44	0.5	0.58	0.0006	0.0007	0.002
54	4.27	1.04	0.502	0.0531	0.000232	0.000143	3.0	4.3	5.9	0.44	0.5	0.59	0.0002	0.0002	0.0004
55	4.26	1.04	0.501	0.0534	0.000251	0.000155	3.0	4.3	5.9	0.43	0.5	0.59	0.0002	0.0002	0.0004
56	4.25	1.04	0.502	0.054	0.000465	0.000287	3.0	4.3	5.9	0.43	0.5	0.59	0.0003	0.0004	0.0008
57	4.24	1.04	0.502	0.0535	0.00026	0.000159	3.0	4.3	5.9	0.43	0.5	0.59	0.0002	0.0002	0.0005
58	4.24	1.04	0.502	0.0539	0.00043	0.00026	3.0	4.3	5.9	0.43	0.5	0.59	0.0003	0.0004	0.0008
59	4.22	1.02	0.501	0.0521	0.00095	0.000561	3.0	4.3	5.8	0.44	0.5	0.58	0.0006	0.0008	0.002
60	4.23	1.04	0.502	0.054	0.00033	0.000198	3.0	4.3	5.9	0.43	0.5	0.59	0.0002	0.0003	0.0006
61	4.22	1.03	0.502	0.054	0.000444	0.000267	2.9	4.3	5.9	0.43	0.5	0.59	0.0003	0.0004	0.0008
62	4.22	1.03	0.502	0.0536	0.000265	0.00016	2.9	4.3	5.8	0.43	0.5	0.58	0.0002	0.0002	0.0005
63	4.19	1.02	0.501	0.0522	0.000833	0.000494	2.9	4.2	5.7	0.44	0.5	0.58	0.0005	0.0007	0.002
64	4.21	1.03	0.501	0.0538	0.00029	0.000174	2.9	4.3	5.8	0.43	0.5	0.59	0.0002	0.0002	0.0005
65	4.2	1.03	0.501	0.0531	0.000238	0.000142	2.9	4.2	5.8	0.43	0.5	0.58	0.0002	0.0002	0.0004
66	4.19	1.02	0.501	0.053	0.00024	0.000144	2.9	4.2	5.8	0.43	0.5	0.58	0.0002	0.0002	0.0004
67	4.19	1.03	0.501	0.0543	0.000396	0.000238	2.9	4.2	5.8	0.43	0.5	0.59	0.0003	0.0003	0.0007
